Medical Instructions,Read the handout carefully,Baca selebaran ini baik-baik,শরীরের কোনো জায়গায় কোনো রেশ বা চুলকানি আছে?,ပေးထား‌ေသော ညွှန်ကြာချက်ကိုသေချာနားလည်အောင်ဖတ်ပါ။,Прочетете внимателно листовката.,请仔细阅读,請仔細參考這份冊子。,Salamat.,Lisez attentivement le document,配布資料をよく読んでください。,សូមអានខិត្តប័ណ្ណឲ្យច្បាស់លាស់,Lesen Sie das Handout sorgfältig,આ હેન્ડઆઉટ/માહિતીપત્ર ધ્યાનપૂર્વક વાંચજો,,קָרָא/קִרְאִי אֶת הֶעָלוֹן בְּעִיּוּן.,,हैंडआउट को ध्यान से पढ़ें,Leggere con attenzione il volantino,인쇄물을 자세히 읽어주세요,Baca buku panduan ini dengan teliti,ຈົ່ງອ່ານເອກະສານຢ່າງລະອຽດ,,काळजीपूर्वक हँडआउट वाचा,यो  पर्चा  रामरी  पढ्नुस  ,ਇਸ ਪਰਚੇ ਨੂੰ ਧਿਆਨ ਨਾਲ ਪੜ੍ਹੋ,Leia o folheto com cuidado,Внимательно прочтите материал,,Lea este documento con detenimiento,,​உங்களுடைய எக்ஸ்ரேயில் (X-Ray) தொற்றுநோய் இருப்பதற்க்கான எந்த அறிகுறியும் தென்படவில்லை.,కాగితంపై ఉన్న సూచనలను జాగ్రత్తగా చదవండి,กรุณาอ่านคู่มืออย่างรอบคอบ,dikkatle sadaka Oku,Hãy đọc kỹ tờ thông tin này,
Greetings,Thank you,Terima kasih,"আপনার কি শরীরে কোনো জায়গায় ব্যাথা আছে? বিষেশ করে, কোন বুক ব্যথা আছে?",ကျေးဇူးတင်ပါသည်။,Благодаря ви.,谢谢,謝謝您     ,Magandang umaga/ magandang hapon/ magandang gabi,Merci ,ありがとうございます。,អរគុណ,Vielen Dank,આભાર,,תּוֹדָה.,,धन्यवाद,Grazie,감사합니다,Terima kasih,ຂໍຂອບໃຈ,,धन्यवाद,धन्यबाद ,ਧੰਨਵਾਦ,Obrigado,Спасибо,,Gracias,,நீங்கள் விரைவில் வீட்டிற்கு திரும்பலாம்.,ధన్యవాదాలు.,ขอบคุณครับ/ค่ะ,teşekkür ederim,Cảm ơn ,
Greetings,I am the nurse,Saya adalah suster anda,,ကျွန်ုပ်သူနာပြုတစ်ယောက်ပါ။,Аз съм медицинската сестра. ,我是护士,我是照顧您的護士,Ako ang nars.,Je suis l'infirmière,看護師です。,ខ្ញុំជា​គិលានុបដ្ឋាយិកា,Ich bin die Krankenschwester,હું નર્સ છું,,אֲנִי הָאָח,,मैं नर्स हूँ,Io sono l'infermiera,제가 간호사 입니다,Saya jururawat,ຂ້າພະເຈົ້າແມ່ນພະຍາບານ,,मी परिचारिका आहे,म  नर्स  हू,ਮੈਂ ਨਰਸ ਹਾਂ,Eu sou a enfermeira,Я медсестра,,Soy la enfermera,,இங்கேயே காத்திருங்கள். இந்த இடத்தை விட்டு எங்கும் செல்லாதீர்கள்.,నేను నర్సుని,ฉันเป็นพยาบาล,Ben hemşireyim,Tôi là y tá ,
Greetings,I am the doctor,Saya adalah dokter anda,,ကျွန်ုပ်ဆရာဝန်တစ်ယောက်ပါ။,Аз съм на лекар,我是医生, 我是照顧您的醫生,Ako ang doktor.,Je suis le médecin,医者です。,ខ្ញុំជា​គ្រូពេទ្រ,Ich bin der Doktor,હું ડૉક્ટર છું,,אֲנִי הָרוֹפֵא,,मैं डॉक्टर हूं,Io sono il medico,제가 의사입니다,Saya doktor,ຂ້າພະເຈົ້າແມ່ນທ່ານໝໍ,,मी डॉक्टर आहे,म डाक्टर  हु,ਮੈਂ ਡਾਕਟਰ ਹਾਂ,Eu sou o doutor,Я врач,,Soy el doctor,,நீங்கள் மருத்துவமனையில் சில நாட்கள் தங்கியிருக்க வேண்டும்.,నేను డాక్టర్,ฉันเป็นหมอ,ben doktorum,Tôi là bác sĩ,
Medical Instructions,You are in the intensive care unit.,Anda sedang berada di ICU,,သင်ယခုအထူးကြပ်မတ်ဆောင်အထဲရောက်နေပါသည်။,Вие сте в интензивното отделение.,你在加护病房,您現在在加護病房,Ikaw ay nasa ICU o intensive care unit.,Vous êtes dans l'unité de soins intensifs.,今、集中治療室にいます。,អ្នកនៅក្នុងបន្ទប់សង្គ្រោះបន្ទាន់,Sie sind in der Intensivstation.,તમે ICU માં છો.,,אַתָּה בְּטִיפּוּל נִמְרָץ,,"आप गहन चिकित्सा कक्ष, याने की ICU में हैं",Sei nel reparto di terapia intensiva.,지금 중환자실에 계십니다,Anda berada di Unit Jagaan Rapi (ICU),ທ່ານຢູ່ໃນພະແນກຜູ້ປ່ວຍອາການໜັກ,,आपण अतिदक्षता विभागात आहेत.,तपाई आइसीयु  मा  हुनुहुन्छ ,ਤੁਸੀਂ ICU ਵਿਚ ਹੋ,Você está em unidade de terapia intensiva.,Вы в отделении интенсивной терапии,,Esta en la unidad de cuidado intensivo,,நாங்கள் உங்களை வேறொரு இடத்திற்கு இடமாற்றம் செய்ய வேண்டும்,మీరు ఇంటెన్సివ్ కేర్ యూనిట్లో ఉన్నారు,คุณอยู่ในหน่วยรักษาพยาบาลผู้ป่วยอาการหนัก,Yoğun bakım ünitesinde bulunmaktadır.,Anh/chị đang ở trong khu vực chăm sóc đặc biệt ,
Greetings,Today is Monday,Hari ini hari Senin,,ယနေ့တနင်္လာနေ့ဖြစ်သည်။,Днес е понеделник.,今天是星期一,,Lunes na ngayon,Aujourd'hui c'est lundi,今日は月曜日です。,ថ្ងៃនេះគឺជាថ្ចៃច័ន្ទ,Heute ist Montag,આજે સોમવાર છે,,הַיּוֹם יוֹם שֵׁנִי,,आज सोमवार है,Oggi è lunedì,,Hari ini hari Isnin.,ມື້ນີ້ແມ່ນວັນຈັນ,,आज सोमवार आहे,आज  सोमबार  हो ,ਅੱਜ ਸੋਮਵਾਰ ਹੈ,Hoje é Segunda-feira,Сегодня понедельник,,Hoy es Lunes,,உடல் நிலை சீராக நான் சில மருந்துகளை தரப்போகிறேன்,ఈరోజు సోమవారం,วันนี้วันจันทร์,Bugün Pazartesi,Hôm nay là Thứ 2,
Greetings,Today is Tuesday,Hari ini hari Selasa,,ယနေ့အင်္ဂါနေ့ဖြစ်သည်။,Днес е вторник.,今天是星期二,今天是星期二,Martes na ngayon,"Aujourd'hui, c'est mardi",今日は火曜日です。,ថ្ងៃនេះគឺជាថ្ចៃថ្ងៃ​អង្គារ,Heute ist Dienstag,આજે મંગળવારે છે,,הַיּוֹם יוֹם שְׁלִישִׁי,,आज मंगलवार है,Oggi è martedì,,Hari ini hari Selasa.,ມື້ນີ້ແມ່ນວັນອັງຄານ,,आज मंगळवार आहे,आज  मंगलबार  हो ,ਅੱਜ ਮੰਗਲਵਾਰ ਹੈ,Hoje é terça-feira,"Сегодня вторник",,Hoy es martes,,நீஙகள் அடுத்த ஐந்து (5) நாட்களுக்கு வேலைக்கு செல்ல கூடாது  ,ఈరోజు మంగళవారం,วันนี้วันอังคาร,Bugün salı,Hôm nay là thứ 3,
Greetings,Today is Wednesday,Hari ini hari Rabu,,ယနေ့ဗုဒ္ဓဟူးနေ့ဖြစ်သည်။,Днес е сряда.,今天是星期三,今天是星期三,Miyerkules na ngayon,Aujourd'hui c'est mercredi,今日は水曜日です。,ថ្ងៃនេះគឺជាថ្ចៃពុធ,Heute ist Mittwoch,આજે બુધવાર છે,,הַיּוֹם יוֹם רְבִיעִי,,आज बुधवार है,Oggi è mercoledì,,Hari ini hari Rabu.,ມື້ນີ້ແມ່ນວັນພຸດ,,आज बुधवार आहे,आज  बुधबार  हो ,ਅੱਜ ਬੁੱਧਵਾਰ ਹੈ,Hoje é Quarta-feira,Сегодня среда,,Hoy es Miercoles,,"உங்களுக்கு சுவாசிப்பதில் ஏதேனும் பிரச்சனை ஏற்பட்டால், எங்களிடம் திரும்பி வரவும் ",ఈ రోజు బుధవారం,วันนี้วันพุธ,Bugün çarşamba,Hôm nay là thứ 4,
Greetings,Today is Thursday,Hari ini hari Kamis,,ယနေ့ကြာသပတေးနေ့ဖြစ်သည်။,Днес е четвъртък.,今天是星期四,今天是星期四,Huwebes na ngayon,Aujourd'hui c'est jeudi,今日は木曜日です。,ថ្ងៃនេះគឺជាថ្ចៃព្រហស្បតិ៍,Heute ist Donnerstag,આજે ગુરુવાર છે,,הַיּוֹם יוֹם חֲמִישִׁי,,आज गुरूवार है,Oggi è giovedi,,Hari ini hari Khamis.,ມື້ນີ້ແມ່ນວັນພະຫັດ,,आज गुरुवार आहे,आज  बिहिबार  हो ,ਅੱਜ ਵੀਰਵਾਰ ਹੈ,Hoje é quinta-feira,Сегодня четверг,,Hoy es Jueves,,நீங்கள் 5 நாட்களுக்குப் பிறகு முழுமையாக குணமடையவில்லை என்றால் நீங்கள் திரும்பி வர வேண்டும்,ఈ రోజు గురువారము,วันนี้วันพฤหัสบดี,Bugün perşembe,Hôm nay là thứ 5,
Greetings,Today is Friday,Hari ini hari Jumat,,ယနေ့သောကြာနေ့ဖြစ်သည်။,Днес е петък.,今天是星期五,今天是星期五,Biyernes na ngayon,Aujourd'hui c'est vendredi,今日は金曜日です。,ថ្ងៃនេះគឺជាថ្ចៃសុក្រ,Heute ist Freitag,આજે શુક્રવાર છે,,הַיּוֹם יוֹם שִׁישִּׁי,,आज शुक्रवार है,Oggi è venerdì,,Hari ini hari Jumaat.,ມື້ນີ້ແມ່ນວັນສຸກ,,आज शुक्रवार आहे,आज  शुक्रबार  हो ,ਅੱਜ ਸ਼ੁੱਕਰਵਾਰ ਹੈ,Hoje é sexta-feira,Сегодня пятница,,Hoy es viernes,,"
தகவல் கையேட்டை கவனமாகப் படியுங்கள்",ఈ రోజు శుక్రవారం,วันนี้วันศุกร์,Bugün cuma,Hôm nay là thứ 6,
Greetings,Today is Saturday,Hari ini hari Sabtu,,ယနေ့စနေနေ့ဖြစ်သည်။,Днес е събота.,今天是星期六,今天是星期六,Sabado na ngayon,Aujourd'hui c'est samedi,今日は土曜日です。,ថ្ងៃនេះគឺជាថ្ចៃសៅរ៍,Heute ist Samstag,આજે શનિવાર છે,,הַיּוֹם יוֹם שַׁבָּת,,आज शनिवार है,Oggi è sabato,,Hari ini hari Sabtu.,ມື້ນີ້ແມ່ນວັນເສົາ,,आज शनिवार आहे,आज  सनिबार  हो ,ਅੱਜ ਸ਼ਨੀਵਾਰ ਹੈ,Hoje é sábado,Сегодня суббота,,Hoy es sábado,,"நன்றி, nandri",ఈ రోజు శనివారం,วันนี้วันเสาร์,Bugün Cumartesi,Hôm nay là thứ 7,
Greetings,Today is Sunday,Hari ini hari Minggu,,ယနေ့တနင်္ဂနွေနေ့ဖြစ်သည်။,Днес е неделя.,今天是星期天,今天是星期天,Linggo na ngayon,Aujourd'hui c'est dimanche,今日は日曜日です。,ថ្ងៃនេះគឺជាថ្ចៃអាទិត្យ,Heute ist Sonntag,આજે રવિવાર છે,,הַיּוֹם יוֹם רִאשׁוֹן,,आज रविवार है,Oggi è domenica,,Hari ini hari Ahad.,ມື້ນີ້ແມ່ນວັນອາທິດ,,आज रविवार आहे,आज  आइतबार  हो,ਅੱਜ ਐਤਵਾਰ ਹੈ,Hoje é domingo,Сегодня воскресенье,,Hoy es domingo,,காலை வணக்கம் / மதிய வணக்கம் / மாலை வணக்கம்,ఈరోజు ఆదివారం,วันนี้วันอาทิตย์,Bugün Pazar,Hôm nay là chủ nhật,
Greetings,You are getting better,Anda sedang membaik,,သင်သက်သာသွားပါပြီ။,Подобрявате се. ,你好了一些,,Bumubuti na ang iyong kalagayan.,Vous vous améliorez,よくなってきています。,អ្នកកំពុងតែជាប្រសើរឡើងហើយ,Du wirst besser,તમારી તબિયત સારી થઇ રહી છે. તમે સાજા થઇ રહ્યા છો,,אַתָּה/אַתְּ מִשְׁתַּפֵּר/מִשְׁתַּפֶּרֶת,,आप ठीक हो रहे हैं ,Si stanno migliorando,조금씩 나아지고 있습니다,Anda semakin pulih,ທ່ານເລີ່ມໄຄຂຶ້ນແດ່ແລ້ວ,,आपण चांगले मिळत आहेत,तपाइको  स्वास्थ  राम्रो  हुदै  गैरहेको  छ  ,ਤੁਸੀਂ ਠੀਕ ਹੋ ਰਹੇ ਹੋ,Você está melhorando,Вы выздоравливаете,,Estás mejorando,,நான் ஒரு தாதி.,మీ ఆరోగ్యం మెరుగుపడుతోంది,อาการของคุณดีขึ้นแล้ว,Sen daha iyiye gidiyor,Anh/chị đang khoẻ lên đấy,
Medical Instructions,We will remove the breathing tube when you are better,Kami akan melepaskan tabung pernapasan setelah anda membaik,,သင်သက်သာသွားလျှင်အသက်ရှူပိုက်ကိုဖြုတ်မည်။,"Ще извадим интубационната тръба, когато сте по-добре.",等你好些才把呼吸管拿掉,,Aalisin namin ang tubo kapag bumuti na ang iyong kalagayan,Nous retirerons la sonde d'intubation quand vous irez mieux,よくなってきたら気管チューブを抜きます。,យើងនឹងដកបំពង់ដកដង្ហើមចេញនៅពេលដែលអ្នកបានធូរស្រាល,"Wir werden den Atemschlauch entfernen, wenn Sie besser sind",જયારે તમે સાજા થઇ જશો ત્યારે અમે આ બહારની શ્વાસનળી કાઢશું,,נְנַתֵּק אֶת צִינּוֹר הַהַנְשָׁמָה כְּשֶׁתַּרְגִּישׁ/כְּשֶׁתַּרְגִּישִׁי יוֹתֵר טוֹב.,,"जब आप बेहतर होंगे, तब हम ये सांस लेने वाली नली निकाल देंगे ",Provvederemo a rimuovere il tubo di respirazione quando si sta meglio,몸이 조금 나아지면 호흡용 관을 제거하겠습니다,Kami akan mengeluarkan tiub pernafasan apabila keadaan anda lebih baik,ພວກເຮົາຈະຖອດທໍ່ຊ່ວຍຫາຍໃຈອອກເມື່ອທ່ານໄຄຂຶ້ນ,,"आपण चांगले आहा, तेव्हा आम्ही श्वास नलिका काढेल",तपाईलाई सन्चो  भएपछि  हामी  सास  फेर्ने  ट्युब  निकाल्ने  छौं,ਜਦੋਂ ਤੁਸੀਂ ਬਿਹਤਰ ਹੁੰਦੇ ਹੋ ਤਾਂ ਅਸੀਂ ਸਾਹ ਲੈਣ ਵਾਲੀ ਨਲੀ/ਪਾਈਪ ਨੂੰ ਹਟਾ ਦੇਵਾਂਗੇ,Vamos remover o tubo de respiração quando estiver melhor,"Мы удалим дыхательную трубку, когда вам станет лучше",,Quitaremos el tube en cuanto estés mejor,,நான் ஒரு மருத்துவர்,మీ ఆరోగ్యం బాగున్నప్పుడు మేము గొట్టాన్ని తీసేస్తాం,เราจะถอดท่อช่วยหายใจหากอาการคุณดีขึ้น,Daha iyi olduğunda biz solunum tüpü kaldıracaktır,Chúng tôi sẽ gỡ ống thở khi anh/chị khoẻ lên,
Medical Instructions,You can talk after we remove the breathing tube,Anda dapat berbicara setelah kami melepaskan tabung pernapasannya,,အသက်ရှူပိုက်ကိုဖြုတ်ပြီးလျှင်စကားပြောနိုင်သည်။,"Можете да говорите, след като извадим интубационната тръба. ",等我拿掉呼吸管你才讲话,,Maaari ka nang magsalita pagkatapos alisin ang tubo,Vous pourrez parlé après que nous ayons retiré la sonde d'intubation,気管チューブを抜いた後に喋れますよ。,អ្នកនឹងអាចនិយាយបានបន្ទាប់ពីពួកយើងដកបំពង់ដកដង្ហើមចេញ,"Sie können sprechen, nachdem wir den Atemschlauch entfernen",બહારની શ્વાસનડી નીકળી જાય પછી તમે વાત કરી શકશો,,תּוּכַל/תּוּכְלִי לְדַבֵּר אַחֲרֵי שֶׁנּוֹרִיד אֶת צִינּוֹר הַהַנְשָׁמָה,,ये सांस लेने वाली नाली निकालने के बाद आप बात कर सकते हैं ,Si può parlare dopo togliamo il tubo di respirazione,호흡용 관을 제거한 후 말씀하세요,Anda boleh bercakap selepas kami keluarkan tiub pernafasan,ທ່ານສາມາດລົມໄດ້ຫຼັງຈາກທີ່ພວກເຮົາຖອດທໍ່ຊ່ວຍຫາຍໃຈອອກແລ້ວ,,आम्ही श्वास ट्यूब काढल्यानंतर आपण चर्चा करू शकता,सास  फेर्ने  ट्युब  निकालेपछि  तपाइले   बोल्न  सक्नु  हुन्छ ,ਸਾਹ ਲੈਣ ਵਾਲੀ ਨਲੀ ਨੂੰ ਹਟਾਉਣ ਤੋਂ ਬਾਅਦ ਤੁਸੀਂ ਗੱਲ ਕਰ ਸਕਦੇ ਹੋ,Você pode falar depois de remover o tubo de respiração,"Вы сможете говорить, когда мы удалим дыхательную трубку",,Podrás hablar cuando quitemos el tubo,,நீங்கள் தீவிர சிகிச்சை பிரிவில் இருக்கிறீர்கள்,మేము గొట్టాన్ని తీసిన తర్వాత మీరు మాట్లాడవచ్చు,คุณสามารถพูดคุยได้หลังจากเราถอดท่อช่วยหายใจ,Biz solunum tüpü kaldırdıktan sonra konuşabiliriz,Anh/chị có thể nói sau khi ống thở được gỡ ra,
Medical Instructions,Take a deep breath, Tarik nafas dalam-dalam,,အသက်ပြင်းပြင်းတစ်ချက်ရှူ‌ပေးပါ။,Поемете дълбоко въздух.,深呼吸,,Huminga nang malalim,Prenez une grande respiration,深く呼吸をしてください。,សូមដកដង្ហើមអោយធំ,Tief durchatmen,એક ઊંડો શ્વાસ લો,,קַח/קְחִי נְשִׁימָה עֲמֻוקָּה,,गहरी सांस लीजिए ,Fai un respiro profondo,숨을 깊게 쉬십시오,Tarik nafas sedalamnya,ຫາຍໃຈເຂົ້າເລິກໆ,,एक दीर्घ श्वास घ्या,गहिरो  सास  लिनुस,ਲੰਬਾ ਸਾਹ ਲਵੋ,Respire fundo,Сделайте глубокий вдох,,Respira profundo,,உங்களுக்கு கொரோனா வைரஸ் இருப்பதாக உறுதி செய்யப்பட்டுள்ளது. ,గట్టిగా ఊపిరి తీసుకోండి,หายใจเข้าลึกๆ,Derin bir nefes al,Hãy hít một hơi sâu,
Medical Instructions,Give me a big cough,Coba batuk untuk saya,,ချောင်းပြင်းပြင်းတစ်ချက်ဆိုး‌ပေးပါ။,Отворете уста. ,大声咳嗽,,Umubo nang may puwersa,Ouvrez la bouche,口を開けてください。,សូមក្អកអោយខ្លាំង,Öffne deinen Mund,જોરથી ખાસો/ઉધરસ ખાઓ,,פְּתַח/פִּתְחִי אֶת הַפֶּה,,ज़ोर से ख़ासिये ,Datemi un grande colpo di tosse,큰 기침을 한번 해주세요,Tolong batuk sekuatnya,ອ້າປາກຂອງທ່ານ,,तुमचे तोंड उघडा,ठुलो  खोक्नुस ,ਮੈਨੂੰ ਇੱਕ ਵੱਡੀ ਖੰਘ ਦਿਓ/ਜੌਰ ਨਾਲ ਖੰਘੌ,Dá-me um grande tosse,Покашляйте,,Tosa con fuerza,,நாங்கள் உங்களை தனிமைப் படுத்தும் வசதிக்கு இடமாற்றம் செய்ய போகின்றோம் ,గట్టిగా దగ్గంది,ลองไอดังๆได้ไหม,Bana kocaman öksürük ver,Hãy ho một cái thật to,
Medical Instructions,Don't struggle, Jangan melawan,,မရုန်းကန်ပါနှင့်။,Не се съпротивлявайте. ,不要挣扎,,Huwag labanan,Ne résistez pas,じっとしてください。,សូមកំុំប្រឹង,Nicht kämpfen,શાંતિથી બેસજો,,אַל תֵּיאָבֵק/תֵּיאָבְקִי,,शांत होकर बैठिये ,Non lottare,몸부림 치지 마세요,Jangan lawan,ຫ້າມດີ້ນ,,संघर्ष करू नका,नचल्नुस ,ਸੰਘਰਸ਼ ਨਾ ਕਰੋ,Não lute,Не сопротивляйтесь,,No resista,,இன்று திங்கட்கிழமை,అవస్థ పడకండి,อย่าต่อสู้,uğraşma,Đừng cựa quậy,
Medical Instructions,Don't move,Jangan bergerak,,မလှုပ်ရှားပါနှင့်။,Не се движете.,不要动,,Huwag gagalaw,Ne bougez pas,動かないでください。,សូមកំុកម្រើក,Bewegen Sie sich nicht,હલન ચલન ના કરો,,אַל תָּזוּז/תָּזוּזִי,,हिलिए मत ,Non ti muovere,움직이지 마세요,Jangan bergerak,ຫ້າມເໜັງ,,हलू नका,नचल्नुस ,ਹਿਲੋ ਨਾ,Não se mova,Не двигайтесь,,No se mueva,,இன்று செவ்வாய்க்கிழமை,కదలకండి,อย่าขยับ,kımıldama,Đừng di chuyển,
Medical Instructions,Lift up your arm,Angkat lengan anda,,သင်၏လက်ကိုမြှောက်‌ပေးပါ။,Повдигнете ръката си,提高你的手,,Itaas ang kamay,Levez votre bras,腕をあげてください。,សូមលើកដៃ,Heben Sie Ihren Arm,હાથ ઉપર કરો,,תָּרִים/תָּרִימִי אֶת הַיָּד שֶׁלְּךָ/שֶׁלָּךְ,,अपना हाथ उठाइये ,Sollevare il braccio,팔을 올려보세요,Naikkan tangan anda,ຍົກແຂນຂອງທ່ານຂຶ້ນ,,आपला हात वर करा,हात  माथि  उठाउनुस ,ਆਪਣੀ ਬਾਂਹ ਚੁੱਕੋ,Levante seu braço,Поднимите руку,,Levante su brazo,,இன்று புதன்கிழமை,మీ చేయి పైకి ఎత్తండి,ยกแขนขึ้น,Kolunu kaldır,Giơ tay lên nào,
Medical Instructions,Lift up your leg,Angkat kaki anda,,သင်၏ခြေထောက်ကိုမြှောက်‌ပေးပါ။,Повдигнете крака си.,提高你的脚,,Itaas ang paa,Levez la jambe,足をあげてください。,សូមលើកជើង,Heben Sie Ihr Bein,પગ ઉપર કરો,,תָּרִים/תָּרִימִי אֶת הָרֶגֶל שֶׁלְּךָ/שֶׁלָּךְ,,अपना पैर उठाइये ,Sollevare la gamba,다리를 올려주세요,Naikkan kaki anda,ຍົກຂາຂອງທ່ານຂຶ້ນ,,आपला पाय वर करा,खुट्टा  माथि  उठाउनुस ,ਆਪਣੀ ਲੱਤ ਚੁੱਕੋ,Levante sua perna,Поднимите ногу,,Levante su pierna,,"
இன்று வியாழக்கிழமை",మీ కాలు పైకి ఎత్తండి,ยกขาขึ้น,Bacağını yukarı kaldırın,Giơ chân lên nào,
Medical Instructions,Squeeze my hand,Remas tangan saya,,ကျွန်ုပ်လက်ကိုညှစ်‌ပေးပါ။,Стиснете ръката ми.,挤我的手,,Pisilin ang kamay ko,Serrez ma main,私の手を強く握ってください。,សូមច្របាច់ដៃខ្ញុំ,Squeeze meine Hand,મારો હાથ દબાવો,,תִּלְחַץ/תִּלְחֲצִי אֶת הַיָּד שֶׁלִּי,,मेरा हाथ दबाइये ,Stringere la mano,제 손을 움켜보세요,Pegang dan genggam tangan saya,ບີບມືຂອງຂ້າພະເຈົ້າ,,माझा हात दाबा,मेरो  हात  थिच्नुस ,ਮੇਰਾ ਹੱਥ ਨਿਚੋੜੋ/ਮੇਰਾ ਹੱਥ ਦਬਾਓ,Aperte minha mão,Сожмите мою руку,,Apriete mi mano,,"
இன்று வெள்ளிக்கிழமை",నా చేతిని నొక్కండి,บีบมือฉัน,Elimi sık,Nắm chặt lấy tay tôi,
Medical Instructions,Show me two fingers,Tunjukkan saya dua jari anda,,သင်၏လက်‌‌‌ေချာင်း ၂ ‌ချောင်းကိုထောင်ပြပါ။,Покажете ми два пръста.,给我看两根手指,,Itaas ang dalawang daliri sa kamay,Montrez-moi deux doigts,指を2本見せてください。,សូមបង្ហាញម្រាមដៃពីរអោយខ្ញុំមើល,Zeigen Sie mir zwei Finger,મને બે આંગળીયો દેખાડો,,הַרְאֵה/הָרְאִי לִי שְׁתֵּי אֶצְבָּעוֹת,,मुझे दो उंगलियां  दिखाएँ,Mostrami due dita,손가락 두개를 보여주세요,Tunjukkan saya dua jari,ຍົກສອງນິ້ວໃຫ້ຂ້າພະເຈົ້າເບິ່ງ,,मला दोन बोटांनी दर्शवा,दुइटा  औंला   देखाउनुस ,ਮੈਨੂੰ ਦੋ ਉਂਗਲੀਆਂ ਦਿਖਾਓ,Mostre-me dois dedos,Покажите два пальца,,Muéstreme dos dedos,,"
இன்று சனிக்கிழமை",నాకు రెండు వేళ్లు చూపించండి,ชูสองนิ้ว,Bana iki parmak göster,Giơ 2 ngón tay nào,
Medical Instructions,Open your mouth,Buka mulut anda,,သင်၏ပါးစပ်ကို ဟပေးပါ။,Отворете уста. ,开嘴巴,,Buksan ang bibig,Ouvrez la bouche,口を開けてください。,សូមបើកចំហមាត់,Öffne deinen Mund,મોઢું ખોલજો,,פְּתַח/פִּתְחִי אֶת הַפֶּה,,अपना मुँह खोलिये ,Apri la bocca,입을 벌려보세요,Buka mulut anda,ອ້າປາກຂອງທ່ານ,,तुमचे तोंड उघडा,मुख  खोल्नुस ,ਆਪਣਾ ਮੂੰਹ ਖੋਲ੍ਹੋ,Abra sua boca,Откройте рот,,Abra la boca,, இன்று ஞாயிற்றுகிழமை,మీ నోరు తెరవండి,อ้าปาก,Ağzını aç,Há miệng ra,
Medical Instructions,Stick out your tongue,Keluarkan lidah anda,,သင်၏ လျှာကိုအပြင်သို့ထုတ်ပါ။,Дайте езика си напред. ,伸舌头,,Labas ang dila,Tirez la langue,舌を出してください。,សូមលានអណ្តាត,Haften Sie Ihre Zunge heraus,જીભ બહાર કાઢી ને બતાવો,,הוֹצֵא/הוֹצִיאִי אֶת הַלָּשׁוֹן,,मुझे अपना जीभ दिखाइए ,Tira fuori la lingua,혀를 내밀어 보세요,Keluarkan lidah anda,ແລບລີ້ນຂອງທ່ານອອກມາ,,आपली जीभ बाहेर काढा,जिब्रो  निकाल्नुस ,ਆਪਣੀ ਜੀਭ ਦਿਖਾਉ,Coloque sua lingua pra fora,Высуньте язык,,Saque la lengua,,நீங்கள் குணமடைந்து வருகிறீர்கள்,మీ నాలుకను బయట పెట్టండి,แลบลิ้น,Dilini çıkar,Thè lưỡi ra,
Medical Instructions,Open your eyes,Buka mata anda,,သင့်မျက်လုံးများကို ဖြဲပြပါ။,Отворете очи.,开眼睛,,Buksan ang mga mata,Ouvrez les yeux,目を開けてください。,សូមបើកភ្នែក,Öffne deine Augen,તમારી આંખો ખોલો,,פְּקַח/פִּקְחִי אֶת הָעֵינַיִים,,अपनी आँखें खोलिए ,Apri gli occhi,눈을 떠보세요,Buka mata anda,ມືນຕາຂອງທ່ານ,,आपले डोळे उघडा,आँखा  खोल्नुस ,ਅਪਣੀਆਂ ਅੱਖਾਂ ਖੋਲੋ,Abra seus olhos,Откройте глаза,,Abra los ojos,,நீங்கள் குணம் அடைந்தப்பின் சுவாசக் குழாயை அகற்றுவோம்,మీ కళ్ళు తెరవండి,เปิดตากว้างๆ,Gözlerini aç,Mở mắt ra,
